timestamp,student_input,bilstm_prediction,bert_prediction,final_emotion,confidence_score,mixed_emotion_breakdown,gemini_response
2026-07-03T09:58:46.389602+00:00,This is a test input,joy,joy,joy,0.950000,"[{""emotion"": ""joy"", ""confidence"": 0.95}]","{""personalized_learning_guidance"":""Test guidance""}"
2026-07-03T10:02:17.328594+00:00,Test input,Curious,Confident,Curious,0.920000,"[{""emotion"": ""Curious"", ""confidence"": 0.92}]",{}
2026-07-03T10:04:38.279760+00:00,Test input,Confused,Curious,Confused,0.830000,"[{""emotion"": ""Confused"", ""confidence"": 0.83}]",{}
2026-07-03T11:38:49.944899+00:00,I am confused about recursion.,Confused,Frustrated,Confused,0.931287,"[{""emotion"": ""Confused"", ""confidence"": 0.514581024646759}]",ERROR: google-generativeai is not installed. Install it to enable Gemini support.
2026-07-03T11:47:48.097978+00:00,I am confused about recursion.,Confused,Frustrated,Confused,0.931287,"[{""emotion"": ""Confused"", ""confidence"": 0.514581024646759}]",ERROR: google-generativeai is not installed. Install it to enable Gemini support.
2026-07-06T06:43:54.333604+00:00,"I've watched several videos on binary trees and solved a few problems, but I still keep making mistakes. I'm frustrated because I feel like I'm not improving.
",Frustrated,Frustrated,Frustrated,0.362371,"[{""emotion"": ""Frustrated"", ""confidence"": 0.3623706102371216}, {""emotion"": ""Confident"", ""confidence"": 0.3003966212272644}]",ERROR: google-generativeai is not installed. Install it to enable Gemini support.
2026-07-06T06:43:54.527655+00:00,"I've watched several videos on binary trees and solved a few problems, but I still keep making mistakes. I'm frustrated because I feel like I'm not improving.
",Frustrated,Frustrated,Frustrated,0.362371,"[{""emotion"": ""Frustrated"", ""confidence"": 0.3623706102371216}, {""emotion"": ""Confident"", ""confidence"": 0.3003966212272644}]",ERROR: google-generativeai is not installed. Install it to enable Gemini support.
2026-07-08T18:34:00.674914+00:00,"python -m streamlit run app.py
",Curious,Frustrated,Curious,0.269776,"[{""emotion"": ""Curious"", ""confidence"": 0.2697763442993164}, {""emotion"": ""Frustrated"", ""confidence"": 0.2339780479669571}]",ERROR: Gemini API key not found. Set GEMINI_API_KEY in a .env file.
2026-07-08T18:34:00.951861+00:00,"python -m streamlit run app.py
",Curious,Frustrated,Curious,0.269776,"[{""emotion"": ""Curious"", ""confidence"": 0.2697763442993164}, {""emotion"": ""Frustrated"", ""confidence"": 0.2339780479669571}]",ERROR: Gemini API key not found. Set GEMINI_API_KEY in a .env file.
2026-07-09T07:20:14.377504+00:00,hi iam very happy,Confident,Frustrated,Confident,0.805585,"[{""emotion"": ""Confident"", ""confidence"": 0.5400418639183044}, {""emotion"": ""Frustrated"", ""confidence"": 0.18167242407798767}]","{
  ""personalized_learning_guidance"": ""Since you are feeling so happy and confident today, this is the absolute best time to stretch your boundaries! When your confidence is high, your brain is more resilient to mistakes and better at making creative connections. Let's channel this amazing energy into tackling a topic you've found challenging in the past, or exploring a brand-new subject that excites you."",
  ""encouraging_response"": ""Hello! I am absolutely thrilled to hear that you are feeling so happy today! Your positive energy and confidence are wonderful assets for learning. Let's keep this great momentum going!"",
  ""study_tips"": ""Here are a few ways to leverage your positive mindset today: 1. Try 'Teaching' the Material: Explain a concept you've mastered to a friend, family member, or even out loud to yourself. 2. Attack the Hardest Task First: Use your peak confidence to dive into your most difficult study topic. 3. Gamify Your Learning: Challenge yourself to a timed quiz or flashcard sprint to keep the energy fun and active."",
  ""next_learning_steps"": ""To make the most of this momentum, I suggest you: 1. Pick one specific, challenging topic you want to master today. 2. Set a timer for 25 minutes and dive in with focus. 3. Write down one new breakthrough or question you have after your study session, and share it with me!""
}"
